engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
jsc,loop-arr-length,baseline,baseline,142154177.0,142154177.0,1.0
jsc,loop-arr-length,baseline,hoist,142154177.0,248085119.0,1.7451834637261485
jsc,loop-arr-length,baseline,inline,142154177.0,147645862.5,1.0386318968312833
jsc,map-reduce,for,baseline,43189250.5,116669989.0,2.7013663735609397
jsc,map-reduce,for,for,43189250.5,43189250.5,1.0
jsc,math-floor,parseInt,baseline,146482962.5,151260446.5,1.0326146052651004
jsc,math-floor,parseInt,bitwise-or,146482962.5,152352881.5,1.0400723667778087
jsc,math-floor,parseInt,double-not,146482962.5,152345496.5,1.0400219513583362
jsc,math-floor,parseInt,parseInt,146482962.5,146482962.5,1.0
jsc,nested-lookup,map,baseline,5296831.0,134697134.5,25.429758755754147
jsc,nested-lookup,map,map,5296831.0,5296831.0,1.0
jsc,number-to-string,toString,baseline,168100430.5,168937952.5,1.004982271595075
jsc,number-to-string,toString,implicit,168100430.5,169542412.5,1.0085780981982673
jsc,number-to-string,toString,string,168100430.5,169022943.5,1.0054878681586719
jsc,number-to-string,toString,toString,168100430.5,168100430.5,1.0
jsc,object-iteration,for-in,baseline,121206690.5,164764226.5,1.359365772799481
jsc,object-iteration,for-in,for-in,121206690.5,121206690.5,1.0
jsc,object-merging,baseline,baseline,158620626.5,158620626.5,1.0
jsc,object-merging,baseline,spread,158620626.5,171926409.5,1.0838843175291581
jsc,object-shape,defined,baseline,76656389.0,78713848.5,1.0268400263414443
jsc,object-shape,defined,defined,76656389.0,76656389.0,1.0
jsc,polymorphic,split,baseline,85557214.5,94365420.0,1.1029510550510033
jsc,polymorphic,split,split,85557214.5,85557214.5,1.0
jsc,prototype,function,baseline,1357235.0,158134178.0,116.51201007931567
jsc,prototype,function,function,1357235.0,1357235.0,1.0
jsc,regex,inline,baseline,48905087.5,155232452.0,3.1741575352462053
jsc,regex,inline,hoist,48905087.5,19545997081.5,399.6720603250122
jsc,regex,inline,inline,48905087.5,48905087.5,1.0
jsc,replace-loop,replace-regex,baseline,1939448.0,169760247.0,87.53018745539968
jsc,replace-loop,replace-regex,replace-regex,1939448.0,1939448.0,1.0
jsc,replace-loop,replace-regex,replaceAll,1939448.0,3977969827.5,2051.0835183516133
jsc,replace-loop,replace-regex,replaceAll-regex,1939448.0,2022364.0,1.0427523707776645
jsc,replace-loop,replace-regex,split-join,1939448.0,1954094088.0,1007.5516786219584
