category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,charAt,v8,536870912,5,79148906,4.45711,36864
access-char,charAt,v8,536870912,6,79165203,4.45888,36608
access-char,charAt,v8,536870912,7,79180157,4.45907,35968
access-char,charAt,v8,536870912,8,79328533,4.46489,36736
access-char,charAt,v8,536870912,9,79175151,4.45762,36480
access-char,charAt,v8,536870912,10,79189983,4.46029,36864
access-char,charAt,v8,1073741824,1,131430694,7.40876,36608
access-char,charAt,v8,1073741824,2,131459014,7.41041,36608
access-char,charAt,v8,1073741824,3,131473479,7.41134,36352
access-char,charAt,v8,1073741824,4,131724211,7.42515,36096
access-char,charAt,v8,1073741824,5,131590057,7.41646,36864
access-char,charAt,v8,1073741824,6,131776946,7.42342,36992
access-char,charAt,v8,1073741824,7,131686431,7.42238,36480
access-char,charAt,v8,1073741824,8,131469329,7.41034,36992
access-char,charAt,v8,1073741824,9,131444854,7.40888,36864
access-char,charAt,v8,1073741824,10,131775542,7.42302,36736
array-max,baseline,v8,1024,1,600280,0.0309609,33664
array-max,baseline,v8,1024,2,607909,0.0309215,33664
array-max,baseline,v8,1024,3,591246,0.0302628,33664
array-max,baseline,v8,1024,4,585753,0.0305165,33664
array-max,baseline,v8,1024,5,620238,0.0302029,33792
array-max,baseline,v8,1024,6,598143,0.030432,33792
array-max,baseline,v8,1024,7,600157,0.0305462,33664
array-max,baseline,v8,1024,8,592406,0.0302292,33792
array-max,baseline,v8,1024,9,610838,0.0306143,33536
array-max,baseline,v8,1024,10,585630,0.0305574,33664
array-max,baseline,v8,2048,1,778379,0.0392724,38656
array-max,baseline,v8,2048,2,798765,0.0394524,38528
array-max,baseline,v8,2048,3,772826,0.039231,38912
array-max,baseline,v8,2048,4,768004,0.0393585,39296
array-max,baseline,v8,2048,5,777769,0.0398326,38784
array-max,baseline,v8,2048,6,883908,0.0438272,38528
array-max,baseline,v8,2048,7,776792,0.0394724,38528
array-max,baseline,v8,2048,8,784910,0.0393428,38528
array-max,baseline,v8,2048,9,791136,0.0393628,38528
array-max,baseline,v8,2048,10,777281,0.0391644,38784
array-max,baseline,v8,4096,1,1094724,0.0562035,38784
array-max,baseline,v8,4096,2,1087522,0.0559212,38528
array-max,baseline,v8,4096,3,1097592,0.0560241,38784
array-max,baseline,v8,4096,4,1110715,0.0560097,38528
array-max,baseline,v8,4096,5,1084897,0.0559091,38528
array-max,baseline,v8,4096,6,1100156,0.0559626,38656
array-max,baseline,v8,4096,7,1107297,0.0560916,38656
array-max,baseline,v8,4096,8,1096677,0.0563423,38656
array-max,baseline,v8,4096,9,1109860,0.055925,38400
array-max,baseline,v8,4096,10,1098752,0.0559153,38528
array-max,baseline,v8,8192,1,1733638,0.0888765,40448
array-max,baseline,v8,8192,2,1737117,0.0893396,40960
array-max,baseline,v8,8192,3,1716732,0.0891976,40832
array-max,baseline,v8,8192,4,1735103,0.0890074,40704
array-max,baseline,v8,8192,5,1707515,0.0885396,40320
array-max,baseline,v8,8192,6,1721859,0.0887281,40576
array-max,baseline,v8,8192,7,1716793,0.0889989,40704
array-max,baseline,v8,8192,8,1710140,0.0892265,40832
array-max,baseline,v8,8192,9,1740658,0.0896128,40704
array-max,baseline,v8,8192,10,1712337,0.0891162,40832
array-max,baseline,v8,16384,1,2922417,0.153145,40832
array-max,baseline,v8,16384,2,2902825,0.151814,40704
array-max,baseline,v8,16384,3,2903618,0.152475,40704
array-max,baseline,v8,16384,4,2910515,0.152019,40832
array-max,baseline,v8,16384,5,2936027,0.153026,40448
array-max,baseline,v8,16384,6,2945549,0.153153,40576
array-max,baseline,v8,16384,7,2950493,0.152849,40704
array-max,baseline,v8,16384,8,2910881,0.152321,40960
array-max,baseline,v8,16384,9,2929985,0.152698,40832
array-max,baseline,v8,16384,10,2904899,0.152283,40704
array-max,baseline,v8,32768,1,5340319,0.281161,45440
array-max,baseline,v8,32768,2,5352891,0.282138,45312
array-max,baseline,v8,32768,3,5356737,0.281048,44928
array-max,baseline,v8,32768,4,5344591,0.280777,44800
array-max,baseline,v8,32768,5,5350450,0.281271,45056
array-max,baseline,v8,32768,6,5350450,0.281629,45056
